sindhubhairavi|Mavoor Valam|Muthaiah Bagavatar|
sindhubhairavi|Nadhrudhru Dhim|Poochi Srinivasa Iyengar|
sindhubhairavi|Nadhru Dhru Dhim|Patnam Subhramanya Iyer|
sindhubhairavi|Pankajaksa Pahi|Tulasivanam|
sindhubhairavi|Pranata Jana|Indira Natesan|
sindhubhairavi|Ragam Tanam Pallavi|Own/others|
sindhubhairavi|Ramacandra Prabhu|Swatitirunal|
sindhubhairavi|Ta Tai Enraduvar|Gopalakrishna Bharati|
sindhubhairavi|Tillana|Lalgudi Jayaraman|
sindhubhairavi|Vishveshvar Darsan Kar|Swatitirunal|
shuddhavasanta|Soma Sundareshvaram|M Dikshitar|
pratapavarali|Bhuri Bhagyalahari|Jayacamaraja Wodayar|
pratapavarali|Vina Nashakoni Yunnanura|Tyagaraja|
dhatuvardhani|Matangi Marakatangi|M Dikshitar|
dhatuvardhani|Sukhakara|Koteswara Iyer|
sugunabhusani|Bhajare Manasa Shri|Patnam Subhramanya Iyer|
bhupala|Shambho Mahadeva 1|Nila Kanta Sivan|
bhupala|Gopalaka Pahimam|Swatitirunal|
bhupala|Kadamba Vanavasini|Muthaiah Bagavatar|
bhupala|Ragam Tanam Pallavi|Own/others|
bhupala|Sadacaleshvaram Bhavayeham|M Dikshitar|
mahati|Mahaniya Madhura|Balamurali Krishna|
hindolavasanta|Padaravindame|Ambujam Krishna|
hindolavasanta|Rara Sita Ramani Manohara|Tyagaraja|
hindolavasanta|Santana Ramasvaminam|M Dikshitar|
pilu|Kanbadenro Nam|Periyasamy Turan|
pahadi|Parama Purushham Bho|Muthaiah Bagavatar|
pahadi|Tillana|Lalgudi Jayaraman|
divyamani|Appa Murugayyane|Koteswara Iyer|
abheri|Balasubramanyam Bhajeham|Muthaiah Bagavatar|
abheri|Bhajare Re Manasa Shri|Mysore Vasudevacar|
abheri|Eeshwari Rajeshwari|Muthaiah Bagavatar|
abheri|Gokula Nilaya Krpalaya|Mysore Vasudevacar|
abheri|Kanda Vandarul|Papanasam Sivan|
abheri|Nagumomu Ganaleni|Tyagaraja|
abheri|Ninnu Vina Mari Galada|Syama Sastri|
abheri|Ragam Tanam Pallavi|Own/others|
abheri|Vinabheri Venuvadyadi Vinodinim|M Dikshitar|
tarangini|Maye Tvam Yahi Mam Badhitum|M Dikshitar|
tarangini|Palaya Mam Parameshvari|M Dikshitar|
asaveri|Adiya Padattait Tarum|Gopalakrishna Bharati|
asaveri|Ayyane Un Menmaiyai|Arunacala Kavi|
asaveri|Candram Bhaja Manasa|M Dikshitar|
asaveri|Caranam Caranam|Arunacala Kavi|
asaveri|Dasharatha Nandana Danavabhanjana|Tyagaraja|
asaveri|Deva Palaya Murare|Swatitirunal|
asaveri|E Paniko Janmincitinani|Tyagaraja|
asaveri|Janakaja Sameta|Tyagaraja|
asaveri|Kadaikkannal Irangi|Arunacala Kavi|
asaveri|Kumarasvaminam Guruguham|M Dikshitar|
asaveri|Lekana Ninnu Juttuukonnaru|Tyagaraja|
asaveri|Mapala Velasi Ika Mamu|Tyagaraja|
asaveri|Nammaka Ne Mosa Bodunaa|Tyagaraja|
asaveri|Palaya Madhava|Swatitirunal|
asaveri|Rara Mayinti Daka Raghuvira|Tyagaraja|
asaveri|Samayamu Delisi Punyamu|Tyagaraja|
asaveri|Sharanam Sharanam Raghurama|Arunacala Kavi|
asaveri|Tamasincu Talajala|Patnam Subhramanya Iyer|
asaveri|Vidu Vidada|Arunacala Kavi|
namai|Aananda Nartana Ganapatim|Oothukadu Venkata Kavi|
namai|Danta Mamukha|Koteswara Iyer|
namai|Ekadanta Vinayakam|Oothukadu Venkata Kavi|
namai|Pahi Saure|Swatitirunal|
namai|Ragam Tanam Pallavi|Own/others|
namai|Shakti Ganapatim|Muthaiah Bagavatar|
namai|Tillana|Oothukadu Venkata Kavi|
namai|Vava Shikhivahana|Koteswara Iyer|
namai|Veda Mate|Muthaiah Bagavatar|
jhalavarali|Anatharakshhaka|Koteswara Iyer|
cencukambhoji|Vara Raga Layajnulu|Tyagaraja|
vanamali|Aparadhamulanorva Samayamu|Tyagaraja|
sindhumandari|Karunincutakide|Patnam Subhramanya Iyer|
manoranjani|Atu Karadani Palka|Tyagaraja|
manoranjani|Balambike Pahi|M Dikshitar|
surati|Adiya Padattai|Gopalakrishna Bharati|
surati|Alarsara|Swatitirunal|
surati|Angarakam Ashrayami|M Dikshitar|
surati|Balasubramanyam Bhajeham|M Dikshitar|
surati|Bhajana Parulakela Dandapani Bhayamu|Tyagaraja|
surati|Bhiksatana Vesamu Nikeelanayya|Tyagaraja|
surati|Chirakalam Nammitini|Madurai Gs Mani|
surati|Dayavu Sheyyavinnamenna|Nila Kanta Sivan|
surati|Ento Premato-varnam|Tiruvetriyur Tyagaraja|
surati|Gitarthamu Sangitanandamu|Tyagaraja|
surati|Haridra Kumkuma|Muthaiah Bagavatar|
surati|Jalajabandhu|Swatitirunal|
surati|Kanaka Sabhai|Gopalakrishna Bharati|
surati|Kanaka Sabhai Tirunatanam|Gopalakrishna Bharati|
surati|Kana Venum Laksam Kangal|Arunacala Kavi|
surati|Kannalavo Swaami|Oothukadu Venkata Kavi|
surati|Lalita Parameshvari|M Dikshitar|
surati|Mahadeva Kancipuradhisha|Mysore Sadashiva Rao|
surati|Manamalar Alittu Maiyal|Tanjavur Sankara Iyer|
surati|Mariyada Teliyakane|Patnam Subhramanya Iyer|
surati|Ma Kulamununakihapara|Tyagaraja|
surati|Paradevi Ni Padamule|Vinai Kuppiyer|
surati|Paramukham Elara Ramayya|Tyagaraja|
surati|Parvai Ondre Podume|Oothukadu Venkata Kavi|
surati|Patiki Haratire Sitapatiki|Tyagaraja|
surati|Ragam Tanam Pallavi|Own/others|
surati|Ramacandra Ni Daya|Tyagaraja|
surati|Rama Daivama Raga Raga|Tyagaraja|
surati|Sadaramava Sarasija|Swatitirunal|
surati|Shiva Peruman|Papanasam Sivan|
surati|Shive Pahi Shri Camundeshvari|Mysore Vasudevacar|
surati|Shri Rama Jayamangalam|Papanasam Sivan|
surati|Shri Venkatagirisham|M Dikshitar|
surati|Shrngarincukoni Vedaliri|Tyagaraja|
surati|Tadara Tanitom Tomta|Mysore Vasudevacar|
surati|Tillai Ambalattanai|Gopalakrishna Bharati|
surati|Tillana|Madurai Srinivasan|
surati|Unnait Tavira Verillai|Nila Kanta Sivan|
surati|Vega Nivu Vani|Poochi Srinivasa Iyengar|
tanarupi|Shri Ramam Sada|Balamurali Krishna|
tanarupi|Va Velava|Koteswara Iyer|
vardhani|Manasa Mana Samarthyamemi|Tyagaraja|
vardhani|Ragam Tanam Pallavi|Own/others|
gaulipantu|Krsnananda Mukunda Murare|M Dikshitar|
gaulipantu|Mosaboku Vinave Satsahavasamu|Tyagaraja|
gaulipantu|Namakkini Bhayamedu|Gopalakrishna Bharati|
gaulipantu|Parabrahma Svarupame|Arunacala Kavi|
gaulipantu|Purahara Jaye Palaya|Syama Sastri|
gaulipantu|Rama Rama Krsna Yanare|Tyagaraja|
