mohanavariti||s,r1,g3,p,d1,n3,s.|s.,n3,d1,p,g3,r1,s|15
taluppu||s,r2,g2,m2,p,d2,n3,s.|s.,d2,p,m2,g2,r2,s|59
kokilapriya|11|s,r1,g2,m1,p,d2,n3,s.|s.,n3,d2,p,m1,g2,r1,s|
rudramanjari||s,r1,g2,p,n3,d1,s.|s.,n3,d1,p,m2,g2,r1,s|45
pennavardhini||s,r2,g3,m1,p,d1,n3,s.|s.,n3,d1,p,m1,p,m1,g3,r2,s|27
hasyadipakam||s,r2,g2,m1,d2,s.|s.,n3,d2,p,m1,g2,r2,s|23
matangagamini||s,g2,m1,p,d2,n2,s.|s.,n2,d2,p,m1,g2,s|10
aravari||s,r1,g3,p,s.|s.,n2,d1,p,m1,r1,s|14
kesaravalokam||s,r2,m2,p,d2|s.,n2,d2,p,m2,g2,r2,s|58
bhramaraketana||s,r1,g2,m1,p,n2,d1,n2,s.|s.,n2,d1,p,m1,g2,s|8
indravamsha||s,g3,m1,d2,n3,s.|s.,n3,p,d2,m1,g3,r2,s|29
satvidhi||s,r2,g3,m1,p,d1,n1,d1,s.|s.,n1,d1,p,m1,g3,s|25
nalinakusumavali||s,r3,g3,m2,p,s.|s.,n3,d1,n3,p,m2,r3,s|69
pratapamanjari||s,r1,g3,m1,p,n3,s.|s.,d1,n3,p,m1,g3,r1,s|15
kumudaprabha||s,r1,g3,d1,n3,s.|s.,p,m2,g3,r1,g3,s|51
shaktirupini||s,g2,m2,d2,s.|s.,n2,d2,m2,g2,s|58
alava||s,g1,m2,d3,n3,s.|s.,n3,d3,m2,g1,s|42
bhuvanakuntali||s,r3,g3,m2,p,d1,s.|s.,d1,p,m2,g3,s|68
kumaru||s,r2,g2,m1,d1,n3,s.|s.,n3,p,m1,g2,s|21
rakkudhvaja||s,r2,g3,m1,p,d2,n3,s.|s.,d2,p,m1,g3,s|29
dhatuapancamam||s,r3,g3,m2,p,n3,p,s.|s.,n3,d1,p,m2,r3,m2,g3,s|69
indumagirvani||s,g3,p,d2,s.|s.,n3,p,m2,g3,r2,s|65
pilavali||s,r2,g2,m1,p,s.|s.,n2,p,m1,g2,r2,s|22
bhracedashan||s,g3,p,n2,s.|s.,d1,p,m2,r2,s|62
kuntalaranjani||s,r3,m2,p,n2,d1,n2,s.|s.,n2,d1,p,m2,g3,r3,s|68
ragamurti||s,r1,g1,m1,d1,n3,s.|s.,n3,d1,m1,g1,r1,s|3
datimanjari||s,r2,g3,m1,p,d2,s.|s.,n2,p,m1,r2,s|28
nagakalyani||s,g2,m2,p,n3,s.|s.,n3,d1,p,m2,g2,r2,s|57
halamukhi||s,r3,m1,p,d1,n3,s.|s.,n3,d1,m1,g3,r3,s|33
shuddhakantam||s,r2,m1,p,n2,s.|s.,d2,p,g3,r2,s|28
amari||s,r2,g3,m1,p,d1,s.|s.,d1,p,m1,g3,r2,s|26
nadavarangini||s,p,m1,r2,g2,r2,s.|s.,p,n2,d2,p,m1,g2,r2,g2,s|22
shriasana||s,r1,g3,p,n2,s.|s.,n2,d1,m1,g3,r1,s|14
bhanukanti||s,r2,m1,p,d1,n1,s.|s.,n1,d1,p,m1,r2,s|25
shikari||s,r2,m1,p,d1,n3,s.|s.,n3,p,m1,g3,s|27
kandarapriya||s,r1,g3,m1,p,d3,n3,s.|s.,n3,d3,p,n3,p,m1,r1,s|18
navvi||s,g3,p,d1,s.|s.,n2,p,m2,g3,r1,s|50
surasena||s,r2,m1,p,d1,s.|s.,n3,d1,p,m1,g3,r2,s|27
jajalika||s,r2,g3,m1,p,n2,s.|s.,n2,p,m1,g3,s,r2,s|28
jalavu||p,n3,s,r2,g3,m1,p|p,m1,g3,r2,s,n3,s|29
abhimanini||s,r1,g1,m1,d2,n3,s.|s.,n3,d2,m1,g1,r1,s|5
asukha||s,r1,g3,m1,p,s.|s.,n2,d1,m1,g3,r1,s|14
barbara||s,r2,g3,r2,g3,m2,d2,n2,s.|s.,n2,d2,g3,r2,s|64
punnagatodi||n2,d1,s,r1,g2,m1,p,d1,n2|d1,p,m1,g2,r1,s,n2,d1,n2|8
aurvashreyapriya||s,r1,p,d1,n1,s.|s.,n1,d1,p,r1,s|1
shuddhasanchari||s,r2,g3,m1,p,d2,p,n2,s.|s.,n2,d2,p,m1,g3,m1,r2,s|28
